var_name1,description,values,values_status,value_count,values%,
age,,0,Below 20,10,8.85,
age,,1,From 20-29,79,69.91,
age,,2,From 30-39,17,15.04,
age,,3,Above 40,7,6.19,
ambianceRate,How will you rate the ambience at starbucks,1,Very bad,1,0.88,
ambianceRate,,2,bad,5,4.42,
ambianceRate,,3,Good,31,27.43,
ambianceRate,,4,Very good,50,44.25,
ambianceRate,,5,Excellent,26,23.01,
chooseRate,How likely you will choose Starbucks for doing business meetings or hangout with friends?,1,Very bad,3,2.65,
chooseRate,,2,bad,15,13.27,
chooseRate,,3,Good,34,30.09,
chooseRate,,4,Very good,40,35.4,
chooseRate,,5,Excellent,21,18.58,
gender,,0,male,54,47.79,
gender,,1,female,59,52.21,
income,What is your annual income?,0,Less than 25000 RM,65,57.52,
income,,1,25000-50000 RM,23,20.35,
income,,2,50000-100000 RM,17,15.04,
income,,3,100000-150000,3,2.65,
income,,4,Above 150000,5,4.42,
itemPurchaseCoffee,What do you most frequently purchase at Starbucks?,1,Yes ,113,100,*
itemPurchaseJuices,,1,Yes ,113,100,
itemPurchaseOthers,,1,Yes ,113,100,
itemPurchasePastries,,1,Yes ,113,100,
itemPurchaseSandwiches,,1,Yes ,113,100,
itempurchaseCold,,1,Yes ,113,100,
location,The nearest Starbucks's outlet to you ,0,Within 1 km,25,22.12,
location,,1,1 km- 3km,32,28.32,
location,,2,More than 3 km,56,49.56,
loyal,Will you continue buying at Starbucks?,0,Yes,90,79.65,
loyal,,1,No,23,20.35,
membershipCard,Do you have Starbucks membership card?,0,Yes,60,53.1,
membershipCard,,1,No,53,46.9,
method,How do you usually enjoy Starbucks?,0,Dine-in,44,38.94,
method,,1,Drive through,20,17.7,
method,,2,Take away,48,42.48,
method,,5,Others,1,0.88,*
priceRate,How would you rate the price range at Starbucks?,1,Very bad,12,10.62,
priceRate,,2,bad,25,22.12,
priceRate,,3,Good,44,38.94,
priceRate,,4,Very good,23,20.35,
priceRate,,5,Excellent,9,7.96,
productRate,How would you rate the quality of Starbucks compared to other brands ,1,Very bad,1,0.88,
productRate,,2,bad,8,7.08,
productRate,,3,Good,33,29.2,
productRate,,4,Very good,48,42.48,
productRate,,5,Excellent,23,20.35,
promoMethodApp,How do you come to hear of promotions at Starbucks? ,1,Yes,113,100,*
promoMethodBillboard,,1,Yes,113,100,
promoMethodDeal,,1,Yes,113,100,
promoMethodDisplay,,1,Yes,113,100,
promoMethodEmail,,1,Yes,113,100,
promoMethodFriend,,1,Yes,113,100,
promoMethodOthers,,0,Yes,1,0.88,
promoMethodOthers,,1,Yes,112,99.12,
promoMethodSoc,,1,Yes,113,100,
promoRate,How important are sales and promotions in your purchase decision?,1,Very bad,4,3.54,
promoRate,,2,bad,6,5.31,
promoRate,,3,Good,26,23.01,
promoRate,,4,Very good,41,36.28,
promoRate,,5,Excellent,36,31.86,
serviceRate,How would you rate the service at Starbucks? ,2,Bad,4,3.54,
serviceRate,,3,Good,36,31.86,
serviceRate,,4,Very good,50,44.25,
serviceRate,,5,Excellent,23,20.35,
spendPurchase,"On average, how much would you spend at Starbucks per visit?",0,0,5,4.42,
spendPurchase,,1,Less than RM 20,56,49.56,
spendPurchase,,2,RM 20-RM 40,45,39.82,
spendPurchase,,3,More than RM 40,7,6.19,
status,Employment status,0,Student,37,32.74,
status,,1,Self-Employed,16,14.16,
status,,2,Employed,58,51.33,
status,,3,House-Wife,2,1.77,
timeSpend,How much time do you normally  spend during your visit?,0,Below 30 minutes,64,56.64,
timeSpend,,1,30 Minutes- 1 hour,34,30.09,
timeSpend,,2,1 hour-2 hours,12,10.62,
timeSpend,,3,2 hours-3 hours,1,0.88,
timeSpend,,4,More than 3 hours,2,1.77,
visitNo,How often do you visit Starbucks?,0,Daily,2,1.77,
visitNo,,1,Weekly,9,7.96,
visitNo,,2,Monthly,26,23.01,
visitNo,,3,Rarely,76,67.26,
wifiRate,You rate the WiFi quality at Starbucks as.,1,Very bad,6,5.31,
wifiRate,,2,Bad,13,11.5,
wifiRate,,3,Good,47,41.59,
wifiRate,,4,Very good,37,32.74,
wifiRate,,5,Excellent,10,8.85,
